,State,1,Crop,3,District,Year,Season,16,Area (ha),22,23,Production (t),27,29,Yield (t/ha)
110,,,,,,2000-01,Rabi,,1467.0,,,1383.0,,,0.9427402862985685
111,,,,,,2001-02,Rabi,,1349.0,,,1078.0,,,0.799110452186805
112,,,,,,2002-03,Rabi,,1327.0,,,1013.0,,,0.7633760361718162
113,,,,,,2003-04,Rabi,,1313.0,,,966.0,,,0.7357197258187357
114,,,,,,2006-07,Rabi,,1351.0,,,952.0,,,0.7046632124352331
115,,,,,,2007-08,Rabi,,1255.0,,,910.0,,,0.7250996015936255
116,,,,,,2008-09,Rabi,,1217.0,,,1075.0,,,0.8833196384552177
117,,,,,,2009-10,Rabi,,1284.0,,,1031.0,,,0.8029595015576324
118,,,,,,2010-11,Rabi,,1225.0,,,859.0,,,0.7012244897959183
119,,,,,,2011-12,Rabi,,1121.0,,,987.0,,,0.880463871543265
120,,,,,,2012-13,Rabi,,1095.0,,,974.0,,,0.8894977168949773
121,,,,,,2013-14,Rabi,,1139.0,,,787.0,,,0.6909569798068482
122,,,,,SHAHJAHANPUR,,,,,,,,,,
123,,,,,,1998-99,Rabi,,10865.0,,,6275.0,,,0.577542567878509
124,,,,,,2000-01,Rabi,,9477.0,,,8373.0,,,0.8835074390629946
125,,,,,,2001-02,Rabi,,10280.0,,,8769.0,,,0.8530155642023347
126,,,,,,2002-03,Rabi,,9555.0,,,7988.0,,,0.8360020931449503
127,,,,,,2003-04,Rabi,,7847.0,,,6725.0,,,0.8570154199056964
128,,,,,,2006-07,Rabi,,8187.0,,,7745.0,,,0.9460119701966532
129,,,,,,2007-08,Rabi,,6497.0,,,6458.0,,,0.9939972294905342
130,,,,,,2008-09,Rabi,,26393.0,,,22540.0,,,0.8540143219793127
131,,,,,,2009-10,Rabi,,22962.0,,,19242.0,,,0.8379932061667102
132,,,,,,2010-11,Rabi,,22547.0,,,16843.0,,,0.7470173415532
133,,,,,,2011-12,Rabi,,22340.0,,,18676.0,,,0.8359892569382273
